id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Georgian Boutique Apt City Centre,60423,1462507973102154618,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,226,2,704,2026-06-28,3.74,1,28,73,EH-68481-F
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,1462507566386729212,Gordon,,"Canongate, Southside and Dumbiedykes",55.94498320836646,-3.185293348616568,Entire home/apt,202,3,433,2026-06-07,2.26,1,176,46,
38628,Edinburgh Holiday Let,165635,1462511471634092578,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,129,1,76,2026-05-25,0.52,1,258,1,EH-70886-F
48645,Large sunny room on Royal Mile,221474,1462510524455349646,Mark,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18305,Private room,220,1,1157,2026-06-20,6.17,1,109,47,EH-70355-F
51505,Superb City Centre Apartment,236828,1462513435880452444,Francois,,New Town West,55.9548,-3.19641,Entire home/apt,356,2,156,2026-05-29,0.82,12,28,35,
54188,The Four Sisters Boatel,253850,1462510740225280209,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,517,1,36,2022-07-03,0.21,3,271,0,
55881,Double Room in a Characterful Victorian Apartment,264345,1462514099806485363,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Private room,146,2,335,2026-06-07,1.81,2,125,4,
58682,Beautiful Apartment in Edinburgh,281109,1462514583211809960,Rona,,Comely Bank,55.95508,-3.21625,Entire home/apt,386,1,220,2026-05-18,1.41,2,138,23,EH-67902-R
65216,City Centre Old Town Apartment,318793,1462515591901202372,Ian,,"Old Town, Princes Street and Leith Street",55.95011,-3.18748,Entire home/apt,380,3,103,2026-06-21,0.56,1,57,2,
97472,"PERFECT LOCATION,FREE PARKING,WIFI",486859,1462519626659646915,Alan,,Morningside,55.93,-3.20995,Entire home/apt,,300,36,2021-08-30,0.20,1,244,0,
